id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder
11068963,Meowth #106,Pokemon Phantasmal Flames,1779,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10031624,Solosis #118,Pokemon Black Bolt,2015,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031715,Simisage #90,Pokemon Black Bolt,661,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10026760,Boldore #128,Pokemon White Flare,479,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10310351,Crabominable [Holiday Calendar] #149,Pokemon Stellar Crown,291,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
7800233,Bruxish #200,Pokemon Surging Sparks,217,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10047337,Snivy [Poster Holo] #1,Pokemon Black Bolt,159,Ungraded,Normal wear,,,0,1,2026-03-22,,,,
4050063,Hisuian Zoroark V #146,Pokemon Lost Origin,117,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
11197498,Mega Charizard X EX #23,Pokemon Promo,4113,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10031588,Palpitoad #104,Pokemon Black Bolt,880,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031744,Genesect ex #161,Pokemon Black Bolt,250,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
11068981,Blowtorch #117,Pokemon Phantasmal Flames,155,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10031722,Rufflet #154,Pokemon Black Bolt,523,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031757,Excadrill ex #168,Pokemon Black Bolt,1976,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
12351392,Squirtle #39,Pokemon Promo,3207,Ungraded,Normal wear,,,0,1,2026-03-30,,,,
10031642,Throh #128,Pokemon Black Bolt,557,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
7418621,Grand Tree #136,Pokemon Stellar Crown,120,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10047341,Oshawott [Poster Holo] #21,Pokemon White Flare,162,Ungraded,Normal wear,,,0,1,2026-03-22,,,,
10669961,Fighting Gong #168,Pokemon Mega Evolution,397,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
12368459,Elite Trainer Box,Pokemon Perfect Order,7917,Ungraded,Normal wear,,,0,1,2026-04-03,2026-04-03,PSA,,
10026831,Victini #172,Pokemon White Flare,38560,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10026822,Jellicent ex #168,Pokemon White Flare,2453,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10031752,Kyurem ex #165,Pokemon Black Bolt,6525,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10026730,Swanna #110,Pokemon White Flare,900,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10495989,Team Rocket's Persian Ex #218,Pokemon Promo,199,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10026777,Garbodor #141,Pokemon White Flare,1304,Ungraded,Normal wear,,,0,1,2026-01-29,2026-01-28,PSA,,White Flare
10031711,Audino #151,Pokemon Black Bolt,1732,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10026739,Blitzle #114,Pokemon White Flare,700,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10031754,Zekrom ex #166,Pokemon Black Bolt,19821,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
7800272,Latias ex #239,Pokemon Surging Sparks,45700,PSA 10,Normal wear,,,0,1,2026-01-29,2026-01-28,PSA,,
12351400,Popplio #45,Pokemon Promo,999,Ungraded,Normal wear,,,0,1,2026-03-30,,,,
10616239,Shuckle #136,Pokemon Mega Evolution,556,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10026809,Hydreigon ex #161,Pokemon White Flare,168,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10026754,Gothita #124,Pokemon White Flare,1274,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10026732,Pansear #99,Pokemon White Flare,785,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10026712,Cottonee #90,Pokemon White Flare,600,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
962960,Pikachu & Zekrom GX #162,Pokemon Team Up,10175,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
11580218,Suicune [Cosmos Holo] #26,Pokemon Phantasmal Flames,156,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
12351391,Bulbasaur #37,Pokemon Promo,2934,Ungraded,Normal wear,,,0,1,2026-03-30,,,,
10031704,Tranquill #149,Pokemon Black Bolt,528,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10026801,Reshiram ex #158,Pokemon White Flare,324,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
7800277,Drayton #244,Pokemon Surging Sparks,899,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
7800236,Latios #203,Pokemon Surging Sparks,2392,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
807059,Cramorant V #155,Pokemon Sword & Shield,93,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10026757,Frillish #126,Pokemon White Flare,1147,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
7800274,Archaludon ex #241,Pokemon Surging Sparks,1207,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
11816149,Psyduck #226,Pokemon Ascended Heroes,7749,Ungraded,Normal wear,,,0,1,2026-03-22,,,,
